region,year,variable,unit,value
USA,2085,gdp-per-capita,thous 1990$ percap,67.1767
USA,2085,gdp-per-capita-ppp,thous 1990$ percap,63.5861
USA,2085,labor-force,thous pers,158038.0
USA,2085,population,thous pers,408306.0
USA,2085,savings-rate,rate annual,0.163553
USA,2085,fac-share-labor,share,0.619291
USA,2085,fac-share-capital,share,0.176266
USA,2085,fac-share-energy,share,0.204443
USA,2085,energy-service,million 1990$,3713860.0
USA,2085,total-factor-productivity,million 1990$,1.8219
USA,2090,GDP,million 1990$,28489100.0
USA,2090,energy-investment,million 1990$,350811.0
USA,2090,consumer-durable,million 1990$,537720.0
USA,2090,value-added,million 1990$,22658400.0
USA,2090,gross-output,million 1990$,28485300.0
USA,2090,savings,million 1990$,5356200.0
USA,2090,investment,million 1990$,5356200.0
USA,2090,capital-stock,million 1990$,78021400.0
USA,2090,depreciation,million 1990$,3716350.0
USA,2090,energy-service-value,million 1990$,5826890.0
USA,2090,energy-net-export,million 1990$,3886.91
USA,2090,materials-net-export,million 1990$,-3886.91
USA,2090,capital-net-export,million 1990$,0.0
USA,2090,labor-wages,million 1990$,17693100.0
USA,2090,gdp-per-capita,thous 1990$ percap,69.6805
USA,2090,gdp-per-capita-ppp,thous 1990$ percap,65.9561
USA,2090,labor-force,thous pers,157601.0
USA,2090,population,thous pers,408854.0
USA,2090,savings-rate,rate annual,0.162424
USA,2090,fac-share-labor,share,0.621133
USA,2090,fac-share-capital,share,0.174309
USA,2090,fac-share-energy,share,0.204558
USA,2090,energy-service,million 1990$,3747540.0
USA,2090,total-factor-productivity,million 1990$,1.87744
USA,2095,GDP,million 1990$,29531400.0
USA,2095,energy-investment,million 1990$,352248.0
USA,2095,consumer-durable,million 1990$,538680.0
USA,2095,value-added,million 1990$,23478500.0
USA,2095,gross-output,million 1990$,29526100.0
USA,2095,savings,million 1990$,5531140.0
USA,2095,investment,million 1990$,5531140.0
USA,2095,capital-stock,million 1990$,81450800.0
USA,2095,depreciation,million 1990$,3884920.0
USA,2095,energy-service-value,million 1990$,6047610.0
USA,2095,energy-net-export,million 1990$,5317.46
USA,2095,materials-net-export,million 1990$,-5317.46
USA,2095,capital-net-export,million 1990$,0.0
USA,2095,labor-wages,million 1990$,18394000.0
USA,2095,gdp-per-capita,thous 1990$ percap,72.2805
USA,2095,gdp-per-capita-ppp,thous 1990$ percap,68.4171
USA,2095,labor-force,thous pers,156450.0
USA,2095,population,thous pers,408567.0
USA,2095,savings-rate,rate annual,0.161423
USA,2095,fac-share-labor,share,0.622973
USA,2095,fac-share-capital,share,0.172204
USA,2095,fac-share-energy,share,0.204822
USA,2095,energy-service,million 1990$,3773430.0
USA,2095,total-factor-productivity,million 1990$,1.93768
USA,2100,GDP,million 1990$,30542700.0
USA,2100,energy-investment,million 1990$,362199.0
USA,2100,consumer-durable,million 1990$,537986.0
USA,2100,value-added,million 1990$,24267800.0
USA,2100,gross-output,million 1990$,30537100.0
USA,2100,savings,million 1990$,5703930.0
USA,2100,investment,million 1990$,5703930.0
USA,2100,capital-stock,million 1990$,84878700.0
USA,2100,depreciation,million 1990$,4055680.0
USA,2100,energy-service-value,million 1990$,6269270.0
USA,2100,energy-net-export,million 1990$,5588.04
USA,2100,materials-net-export,million 1990$,-5588.04
USA,2100,capital-net-export,million 1990$,0.0
USA,2100,labor-wages,million 1990$,19079300.0
USA,2100,gdp-per-capita,thous 1990$ percap,74.932
USA,2100,gdp-per-capita-ppp,thous 1990$ percap,70.9269
USA,2100,labor-force,thous pers,154398.0
USA,2100,population,thous pers,407605.0
USA,2100,savings-rate,rate annual,0.160439
USA,2100,fac-share-labor,share,0.62479
USA,2100,fac-share-capital,share,0.16991
USA,2100,fac-share-energy,share,0.2053
USA,2100,energy-service,million 1990$,3789970.0
USA,2100,total-factor-productivity,million 1990$,2.0046
Africa_Eastern,1975,GDP,million 1990$,34407.0
