Model,Scenario,Region,Variable,Unit,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
GCAM 4.2,SSP1-Baseline,Countries from the Reforming Economies of the Former Soviet Union,Final Energy|Transportation|Electricity,EJ/yr,0.28255979999999903,0.350928527999998,0.41199683400000003,0.471885149,0.520394299,0.561004856,0.6046939050000001,0.6409541280000001,0.6787499210000001,0.707127198
GCAM 4.2,SSP1-Baseline,Countries from the Reforming Economies of the Former Soviet Union,Final Energy|Transportation|Hydrogen,EJ/yr,0.0,0.0022093910000000002,0.012109018999999001,0.026126965000000002,0.042830045000000004,0.060570665,0.076426273,0.088570799,0.097962139,0.102051363
GCAM 4.2,SSP1-Baseline,Countries from the Reforming Economies of the Former Soviet Union,Final Energy|Transportation|Liquids,EJ/yr,6.00467123,6.371825274,6.767816459000001,7.037676516,6.87363488,6.745697588000001,6.60835746,6.323623807000001,5.999296973,5.672488829
GCAM 4.2,SSP1-Baseline,Countries from the Reforming Economies of the Former Soviet Union,Population,million,305.238,299.625,291.963,284.168,275.308,264.278,250.481,233.581,214.522,194.804
GCAM 4.2,SSP1-Baseline,Countries from the Reforming Economies of the Former Soviet Union,Primary Energy,EJ/yr,45.27955985,49.744998697,53.140054899,54.456470219,53.21408461,50.69336304300001,47.863155241,43.776958762,40.058929035,36.435052255
GCAM 4.2,SSP1-Baseline,Countries from the Reforming Economies of the Former Soviet Union,Primary Energy|Biomass,EJ/yr,1.2792029999999999,1.809207,2.436594,2.988311,3.383941000000001,3.998714,4.12486,4.111372,3.995241000000001,3.800728
GCAM 4.2,SSP1-Baseline,Countries from the Reforming Economies of the Former Soviet Union,Primary Energy|Coal,EJ/yr,9.92063,11.09175,12.11372,12.45205,12.26176,12.54871,12.20945,10.43409,9.14079,7.7575400000000005
GCAM 4.2,SSP1-Baseline,Countries from the Reforming Economies of the Former Soviet Union,Primary Energy|Fossil,EJ/yr,41.912498,45.683847,47.9995701,48.094892,45.73037429999999,41.232468,37.36558,32.298897,28.090789,24.314223
GCAM 4.2,SSP1-Baseline,Countries from the Reforming Economies of the Former Soviet Union,Primary Energy|Gas,EJ/yr,20.97471,23.90372,26.13493,26.51663,24.92668,21.05258,17.60777000000001,14.54231,12.01144,10.12323
GCAM 4.2,SSP1-Baseline,Countries from the Reforming Economies of the Former Soviet Union,Primary Energy|Nuclear,EJ/yr,1.261544,1.160751438,1.007288447,0.757224957,0.49928892700000005,0.349567877,0.22752385600000002,0.20543903,0.19537959,0.17224473
GCAM 4.2,SSP1-Baseline,Countries from the Reforming Economies of the Former Soviet Union,Primary Energy|Oil,EJ/yr,11.017158,10.688377,9.7509201,9.126212,8.541934300000001,7.631178,7.548360000000002,7.322497,6.938559,6.433453
GCAM 4.2,SSP1-Baseline,Countries from the Reforming Economies of the Former Soviet Union,Secondary Energy|Electricity,EJ/yr,8.853292695,10.38249563,11.166780125,11.50834663,11.515488861,11.431521071,11.412255224,11.343647065,11.172459049,10.795278676
GCAM 4.2,SSP1-Baseline,Countries from the Reforming Economies of the Former Soviet Union,Secondary Energy|Electricity|Biomass,EJ/yr,0.058359192000000004,0.081625058,0.117693559,0.16171832800000002,0.202544193999999,0.26403565,0.292231601,0.299322064,0.287231136,0.238750233999999
GCAM 4.2,SSP1-Baseline,Countries from the Reforming Economies of the Former Soviet Union,Secondary Energy|Electricity|Biomass|w/ CCS,EJ/yr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GCAM 4.2,SSP1-Baseline,Countries from the Reforming Economies of the Former Soviet Union,Secondary Energy|Electricity|Biomass|w/o CCS,EJ/yr,0.058359192000000004,0.081625058,0.117693559,0.16171832800000002,0.202544193999999,0.26403565,0.292231601,0.299322064,0.287231136,0.238750233999999
GCAM 4.2,SSP1-Baseline,Countries from the Reforming Economies of the Former Soviet Union,Secondary Energy|Electricity|Coal,EJ/yr,2.6223499,3.04906649,3.09834446,2.90854357,2.62566316,2.49930865,2.38807734,1.8886431799999999,1.62306206,1.33408543
GCAM 4.2,SSP1-Baseline,Countries from the Reforming Economies of the Former Soviet Union,Secondary Energy|Electricity|Coal|w/ CCS,EJ/yr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GCAM 4.2,SSP1-Baseline,Countries from the Reforming Economies of the Former Soviet Union,Secondary Energy|Electricity|Coal|w/o CCS,EJ/yr,2.6223499,3.04906649,3.09834446,2.90854357,2.62566316,2.49930865,2.38807734,1.8886431799999999,1.62306206,1.33408543
GCAM 4.2,SSP1-Baseline,Countries from the Reforming Economies of the Former Soviet Union,Secondary Energy|Electricity|Gas,EJ/yr,3.974589043,4.980701348999999,5.226549398,5.046452001,4.574407373000001,3.19138606,2.3486325580000003,1.779715626,1.279648385999999,0.8956299630000001
GCAM 4.2,SSP1-Baseline,Countries from the Reforming Economies of the Former Soviet Union,Secondary Energy|Electricity|Gas|w/ CCS,EJ/yr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GCAM 4.2,SSP1-Baseline,Countries from the Reforming Economies of the Former Soviet Union,Secondary Energy|Electricity|Gas|w/o CCS,EJ/yr,3.974589043,4.980701348999999,5.226549398,5.046452001,4.574407373000001,3.19138606,2.3486325580000003,1.779715626,1.279648385999999,0.8956299630000001
GCAM 4.2,SSP1-Baseline,Countries from the Reforming Economies of the Former Soviet Union,Secondary Energy|Electricity|Geothermal,EJ/yr,0.00181788,0.07087309,0.19760928,0.288614596,0.32837905100000003,0.40563584900000005,0.38894719,0.365794792999999,0.33501874400000003,0.27826064500000003
GCAM 4.2,SSP1-Baseline,Countries from the Reforming Economies of the Former Soviet Union,Secondary Energy|Electricity|Hydro,EJ/yr,0.8071022,0.8812955,0.9558673999999999,1.040465599999999,1.1350921,1.2297176,1.3243421,1.4189726,1.5135920999999999,1.5609069
GCAM 4.2,SSP1-Baseline,Countries from the Reforming Economies of the Former Soviet Union,Secondary Energy|Electricity|Non-Biomass Renewables,EJ/yr,0.82631485,1.091193259,1.6966023520000002,2.616042261999999,3.600480383,5.112613166,6.145191385,7.161250732,7.777519445,8.147856525
GCAM 4.2,SSP1-Baseline,Countries from the Reforming Economies of the Former Soviet Union,Secondary Energy|Electricity|Nuclear,EJ/yr,1.261544,1.160751438,1.007288447,0.757224957,0.49928892700000005,0.349567877,0.22752385600000002,0.20543903,0.19537959,0.17224473
GCAM 4.2,SSP1-Baseline,Countries from the Reforming Economies of the Former Soviet Union,Secondary Energy|Electricity|Oil,EJ/yr,0.11013571,0.019158036,0.020301909,0.018365512,0.013104824000000001,0.014609668000000001,0.010598483999999,0.009276433,0.009618432000000001,0.006711794
GCAM 4.2,SSP1-Baseline,Countries from the Reforming Economies of the Former Soviet Union,Secondary Energy|Electricity|Solar,EJ/yr,0.00240837,0.062677656,0.163273356,0.36659850600000005,0.619035372,1.134094648,1.6304337469999992,2.196467702,2.757681616,3.23229295
GCAM 4.2,SSP1-Baseline,Countries from the Reforming Economies of the Former Soviet Union,Secondary Energy|Electricity|Wind,EJ/yr,0.014986399999999999,0.076347012999999,0.379852316,0.92036356,1.5179738600000001,2.343165069,2.801468348,3.180015637,3.171226985,3.07639603
GCAM 4.2,SSP1-Baseline,Countries from the Reforming Economies of the Former Soviet Union,Secondary Energy|Hydrogen,EJ/yr,0.0,0.017805993000000003,0.046036115999999,0.080814325999999,0.118042534,0.137466728,0.153212213,0.16141065200000002,0.16404259300000001,0.158928295
GCAM 4.2,SSP1-Baseline,Countries of the Middle East and Africa,Capacity|Electricity,GW,632.277985948787,572.072251535325,778.55019285444,1129.44010586797,1622.47070753047,2214.79529601779,2788.463497656149,3248.09638648781,3563.83810448942,3732.752865738849
GCAM 4.2,SSP1-Baseline,Countries of the Middle East and Africa,Capacity|Electricity|Biomass,GW,0.119720319634703,3.54998810882801,9.67084859367073,19.8499581034373,33.9817173230593,51.1017751537924,69.94275443144339,86.2373030029172,96.567388857179,97.5284662766362
GCAM 4.2,SSP1-Baseline,Countries of the Middle East and Africa,Capacity|Electricity|Coal,GW,42.0344082952816,59.8740447425165,76.2276255707763,91.45988275304408,106.822566947298,122.773694151129,139.219501125698,143.139644771055,147.44078196347,147.448875491502
GCAM 4.2,SSP1-Baseline,Countries of the Middle East and Africa,Capacity|Electricity|Gas,GW,151.500532724505,258.441856616248,336.171321473872,411.984565456938,478.300988061263,479.598234287798,474.784575944952,467.6719835109089,443.4537832477169,418.276629375951
