Model,Scenario,Region,Variable,Unit,2005,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
AIM/CGE 2.0,SSP3-Baseline,Countries from the Reforming Economies of the Former Soviet Union,Secondary Energy|Electricity|Non-Biomass Renewables,EJ/yr,0.8133,0.9452,0.9918,1.0633,1.1456,1.2087,1.3501,1.4901,1.6446,1.8208,2.0061
AIM/CGE 2.0,SSP3-Baseline,Countries from the Reforming Economies of the Former Soviet Union,Secondary Energy|Electricity|Nuclear,EJ/yr,0.7947000000000001,0.7694000000000001,1.1436,1.5403,1.4317,1.0411,0.7789,0.584,0.4367,0.3262,0.2411
AIM/CGE 2.0,SSP3-Baseline,Countries from the Reforming Economies of the Former Soviet Union,Secondary Energy|Electricity|Oil,EJ/yr,0.1431,0.1511,0.1647,0.1696,0.1703,0.1655,0.1605,0.1546,0.1514,0.1481,0.1455
AIM/CGE 2.0,SSP3-Baseline,Countries from the Reforming Economies of the Former Soviet Union,Secondary Energy|Electricity|Solar,EJ/yr,0.0,0.0379,0.0413,0.0446,0.0478,0.0501,0.0567,0.0627,0.0695,0.0774,0.0857
AIM/CGE 2.0,SSP3-Baseline,Countries from the Reforming Economies of the Former Soviet Union,Secondary Energy|Electricity|Wind,EJ/yr,0.0001,0.0002,0.0012,0.0068,0.0229,0.0466,0.071,0.0875,0.096999999999999,0.1074,0.1175
AIM/CGE 2.0,SSP3-Baseline,Countries of the Middle East and Africa,Capacity|Electricity,GW,204.7082,250.7157,347.9438,498.1618,679.2071,898.1379,1130.7209,1421.7065,1875.6952,2411.2517,3036.7629
AIM/CGE 2.0,SSP3-Baseline,Countries of the Middle East and Africa,Capacity|Electricity|Biomass,GW,0.1217,0.4647,0.5758,0.868,2.2274,5.6931,10.0521,16.7801,23.0511,25.5612,28.3692
AIM/CGE 2.0,SSP3-Baseline,Countries of the Middle East and Africa,Capacity|Electricity|Coal,GW,51.8478,60.0624,81.906,124.2739,193.234,295.5795,431.5365,643.1722,990.7673,1430.6918,1990.0296
AIM/CGE 2.0,SSP3-Baseline,Countries of the Middle East and Africa,Capacity|Electricity|Gas,GW,75.465,96.1148,130.9607,193.0114,251.9152,328.2886,373.5953,371.4334,352.5427,359.175,359.7703
AIM/CGE 2.0,SSP3-Baseline,Countries of the Middle East and Africa,Capacity|Electricity|Hydro,GW,29.9453,36.072,60.9508,84.8329,112.6862,137.2352,173.1727,221.2989,287.8435,321.386,321.386
AIM/CGE 2.0,SSP3-Baseline,Countries of the Middle East and Africa,Capacity|Electricity|Nuclear,GW,1.9614,1.6176,1.6176,3.6085,3.2577,2.3773,2.2449,2.0864,1.9375,1.8452,1.7525
AIM/CGE 2.0,SSP3-Baseline,Countries of the Middle East and Africa,Capacity|Electricity|Oil,GW,44.7724,54.2859,68.8366,86.2111,105.607,112.2209,111.2917,114.774,113.3417,115.3974,124.93
AIM/CGE 2.0,SSP3-Baseline,Countries of the Middle East and Africa,Capacity|Electricity|Solar,GW,0.1168,1.3509,1.8998,2.9365,4.7165,7.2337,10.6192,18.6932,39.3725,58.0024,76.1917
AIM/CGE 2.0,SSP3-Baseline,Countries of the Middle East and Africa,Capacity|Electricity|Wind,GW,0.3134,0.5788,1.0032,2.1838,5.2754,9.1593,17.7816,32.9478,66.2042,98.419,133.3903
AIM/CGE 2.0,SSP3-Baseline,Countries of the Middle East and Africa,Emissions|CH4,Mt CH4/yr,51.8233,59.1486,76.6893,96.731,117.4799,140.0731,164.077,189.5191,215.6885,241.2299,265.6559
AIM/CGE 2.0,SSP3-Baseline,Countries of the Middle East and Africa,Emissions|CH4|Energy,Mt CH4/yr,21.7134,23.0725,26.0572,29.0668,31.8443,34.3692,36.533,38.97,41.7275,44.4933,47.4754
AIM/CGE 2.0,SSP3-Baseline,Countries of the Middle East and Africa,Emissions|CO2,Mt CO2/yr,3416.455,5785.1905,7478.4878,8279.7723,9273.0162,10482.6842,12004.2158,13317.0651,15001.0639,17456.2214,20579.4722
AIM/CGE 2.0,SSP3-Baseline,Countries of the Middle East and Africa,Emissions|CO2|AFOLU,Mt CO2/yr,963.6573,2877.0963,3532.9223,2995.1829,2536.8846,2233.5225,2259.2662,1963.0496,1651.8499,1358.6316,1135.6341
AIM/CGE 2.0,SSP3-Baseline,Countries of the Middle East and Africa,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,2452.7976,2908.0942,3945.5656,5284.5894,6736.1317,8249.1617,9744.9496,11354.0154,13349.214,16097.5899,19443.8381
AIM/CGE 2.0,SSP3-Baseline,Countries of the Middle East and Africa,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,760.1292,916.3187,1198.4417,1676.6798,2266.6128,2987.1153,3759.0287,4731.9797,6218.6468,8243.7684,10848.3208
